Timestamp,Interface,Protocol,Direction,Message Name,Additional Info
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR PDCP DL Statistics,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR PDCP UL Statistics,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR RLC DL Statistics,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR RLC UL Statistics,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR Uplink stats,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR RRC Configuration Info for pcell,
6/5/2023 8:57:53.000 PM,N/A,N/A,N/A,Technology Decision,
"6/5/2023 8:57:53.371 PM,N/A,SIP,UE → IMS,SIP REGISTER,""Chip Type = Qualcomm, Direction = Tx, CSeq = 1 REGISTER"""
6/5/2023 8:57:53.520 PM,N/A,N/A,N/A,CM State,
"6/5/2023 8:57:53.537 PM,N/A,SIP,IMS → UE,SIP 401 Unauthorized,""Chip Type = Qualcomm, Direction = Rx, CSeq = 1 REGISTER"""
6/5/2023 8:57:53.753 PM,N/A,NR5G L1,N/A,QC5GNR MAC CDRX Config,
"6/5/2023 8:57:53.845 PM,N/A,SIP,UE → IMS,SIP REGISTER,""Chip Type = Qualcomm, Direction = Tx, CSeq = 2 REGISTER"""
"6/5/2023 8:57:54.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140251, Lat: 33.896191; Heading: 140.3056; Speed: 14; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR Searcher Measurement Result,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR Searcher Measurement Result SCell1,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR BRS Measurement Result for PCell SSB,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR Tx Power Control Information for PCell,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR Channel State Factor PCell,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR PDSCH Information for PCell,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR PUSCH Information for PCell,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR DCI Count Information for PCell,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR Physical & Mac Layer Throughput Information PCell,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR DL RLC Throughput Information,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR PDCP Throughput Information DL,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR UL Physical Throughput Information PCell,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR PDCP Throughput Information UL,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR UL RLC Throughput Information,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR ENDC TxPwr,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR AFCSNR P,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR AFCSNR S1,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR SSB and TRS SNR information for pcell,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR PDCP DL Statistics,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR PDCP UL Statistics,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR RLC DL Statistics,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR RLC UL Statistics,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR Uplink stats,
6/5/2023 8:57:54.000 PM,N/A,NR5G L1,N/A,QC5GNR RRC Configuration Info for pcell,
6/5/2023 8:57:54.000 PM,N/A,N/A,N/A,Technology Decision,
"6/5/2023 8:57:54.187 PM,N/A,SIP,IMS → UE,SIP 200 OK,""Chip Type = Qualcomm, Direction = Rx, CSeq = 2 REGISTER"""
"6/5/2023 8:57:54.280 PM,N/A,SIP,UE → IMS,SIP SUBSCRIBE,""Chip Type = Qualcomm, Direction = Tx, CSeq = 1 SUBSCRIBE"""
"6/5/2023 8:57:54.281 PM,N/A,SIP,IMS → UE,SIP 200 OK,""Chip Type = Qualcomm, Direction = Rx, CSeq = 1 SUBSCRIBE"""
